Date,Export_Price_index,Import_Price_Index,Consumer_Price_Index,Employees,Industrial_Production,Material_Supply_Textile,Retail_Sales
1999-10-01,99.5,100.5,131.4,1323.1,210.7463,1563,13400
1999-11-01,99.2,100.4,131,1326,208.1534,1563,13416
1999-12-01,99.2,100.1,131.3,1316.5,210.5651,1537,13573
2000-01-01,97.8,100.2,130.7,1311.7,211.8591,1552,13301
2000-02-01,99,99.9,130.4,1320.8,210.5908,1538,13532
2000-03-01,100,99.9,130.3,1319.3,210.2882,1580,13818
2000-04-01,100.1,99.9,129.8,1321.8,211.9458,1615,13801
2000-05-01,100.5,99.8,129.7,1318.2,208.1645,1665,14027
2000-06-01,100.2,99.7,129.3,1318.7,207.2256,1691,13864
2000-07-01,99.4,99.8,128.9,1322.4,205.802,1725,13722
2000-08-01,100.5,100.1,128.9,1317.6,200.2702,1759,14072
2000-09-01,100.6,100,129.5,1329.4,199.412,1765,14366
2000-10-01,100.6,100.3,129.2,1322.4,197.3024,1763,14231
2000-11-01,100.6,100.3,129.2,1323.6,193.2875,1779,14294
2000-12-01,100.8,100,129.1,1328,193.0548,1783,14084
2001-01-01,99.7,99.7,129.4,1333,190.875,1795,14135
2001-02-01,98.6,99.6,129.6,1342.5,188.0127,1775,14166
2001-03-01,97.5,99.5,129.5,1335.4,189.0693,1763,13801
2001-04-01,96.6,99.4,128.2,1330.5,188.112,1737,14217
2001-05-01,96.3,99.4,127.4,1331.1,183.8796,1727,13950
2001-06-01,95.7,99.6,127.4,1327.9,181.8889,1743,13804
2001-07-01,95.4,99.4,127.3,1315.9,179.3302,1715,13994
2001-08-01,94.3,99.3,126.4,1316.7,180.1496,1676,14171
2001-09-01,95.2,98.7,125.8,1312.3,182.1192,1694,13286
2001-10-01,94,99.1,125.8,1304.2,177.6192,1707,13973
2001-11-01,93.7,99.2,125.4,1305.8,175.0049,1675,13970
2001-12-01,93.8,99.3,124.9,1301.6,176.6541,1654,14126
2002-01-01,93.8,99.1,124.4,1309.2,177.0536,1599,14220
2002-02-01,94,98.7,124.6,1303.5,178.2939,1564,14357
2002-03-01,93.8,97.8,125.3,1309.5,182.5412,1533,14436
2002-04-01,94.1,97.8,125.1,1309.6,184.4513,1496,14410
2002-05-01,94.3,97.9,124.6,1309.5,184.9709,1465,14220
2002-06-01,95,97.5,123.9,1310.4,187.3705,1459,14366
2002-07-01,95.4,98.2,123.5,1315.5,184.371,1456,14200
2002-08-01,95.4,98.7,124.3,1314.4,184.5154,1440,14338
2002-09-01,95.2,97.7,123.4,1312.1,184.9744,1418,13966
2002-10-01,95.7,98.3,123,1315.6,183.9052,1386,14625
2002-11-01,96.1,98.3,123.1,1315.2,185.9233,1339,14456
2002-12-01,96.1,100.5,122.7,1321.7,185.218,1292,14714
2003-01-01,95.8,100.1,122.1,1306.6,179.5886,1323,14565
2003-02-01,96.4,100.6,121.8,1294.4,182.4431,1322,14142
2003-03-01,97.3,100.8,120.7,1298.3,181.8373,1305,14465
2003-04-01,98,101.1,120.3,1306.3,181.2605,1358,14434
2003-05-01,97.9,101.3,120,1300.4,177.5277,1319,14651
2003-06-01,97.7,100,120.6,1297.5,177.0423,1268,14894
2003-07-01,98.2,100.1,121.1,1295.6,171.6806,1244,15141
2003-08-01,98.2,100.1,120.8,1297.3,170.4444,1240,15089
2003-09-01,98.2,100.2,120.9,1308.2,171.0871,1228,15175
2003-10-01,100.1,100.1,121.1,1314.5,172.9125,1216,15067
2003-11-01,101,100.1,120.8,1312,176.0254,1256,15338
2003-12-01,99.9,100.1,120.2,1310.5,173.7795,1241,15456
2004-01-01,101,100,120.1,1328.6,177.6097,1233,15513
2004-02-01,100.6,99.8,120.1,1339.6,172.4143,1247,15687
2004-03-01,100.7,99.7,120.4,1351.4,168.9924,1246,15984
2004-04-01,99.5,99.7,120.6,1361,171.056,1233,15567
2004-05-01,99.4,99.7,120.9,1366.1,174.2522,1236,15736
2004-06-01,98.8,99.8,121.2,1373.4,172.6146,1250,15555
2004-07-01,97.9,100,121,1374.1,176.7623,1266,15645
2004-08-01,97.6,100,120.3,1377.3,174.9103,1270,15660
2004-09-01,97.9,100,120,1380.3,173.823,1270,15764
2004-10-01,97.7,100.1,120.3,1380.9,177.7789,1277,16055
2004-11-01,97.7,100.1,120.6,1379.2,174.2904,1268,16044
2004-12-01,97.5,100,119.8,1367,174.9441,1272,16183
2005-01-01,98.2,100.1,120.3,1383.1,178.455,1280,16125
2005-02-01,98.1,100,120,1389.6,178.3913,1277,16674
2005-03-01,99.4,100,120.5,1397.5,178.2192,1281,16293
2005-04-01,100.6,99.7,119.9,1403.7,175.0395,1278,16636
2005-05-01,101,99.5,119.9,1410.5,176.473,1293,16514
2005-06-01,100.8,99.6,119.4,1418.9,176.0653,1299,16824
2005-07-01,100.9,99.7,119,1431.4,178.1981,1277,16450
2005-08-01,100.4,99.8,119.5,1435.9,177.4745,1261,16759
2005-09-01,100.5,99.8,119.1,1427.4,177.5614,1258,16450
2005-10-01,100.9,99.7,119,1420,176.6001,1259,17120
2005-11-01,101,99.5,119.2,1428.1,174.9719,1256,17142
2005-12-01,101.3,99.6,118.6,1432.6,171.8727,1303,17207
2006-01-01,102.5,99.9,118.9,1438,172.6458,1321,17331
2006-02-01,102,99.9,117.8,1439.8,170.3516,1313,17384
2006-03-01,101.5,99.9,119.1,1431,167.4001,1313,17385
2006-04-01,101.4,100.7,119.6,1423.7,165.0273,1308,17542
2006-05-01,101.1,100.1,119.9,1423.6,162.6728,1296,17492
2006-06-01,101.9,100.1,120.1,1442.5,160.7941,1296,17701
2006-07-01,101.4,100,119,1447.4,159.9202,1296,17691
2006-08-01,102.1,100.2,119.8,1456.2,157.7369,1292,17635
2006-09-01,101.6,100.1,120.2,1462.6,155.0598,1279,18256
2006-10-01,101.2,100.1,119.8,1466.7,152.1004,1272,18126
2006-11-01,101.5,100.2,119.4,1477.4,149.7166,1248,17910
2006-12-01,102.1,100.2,119.8,1493.6,148.6249,1220,18497
2007-01-01,102.5,100.2,119.86,1485.4,146.0276,1213,18493
2007-02-01,102.3,100.1,120.237,1484.6,144.0197,1216,18144
2007-03-01,102.6,100.2,119.797,1489.3,144.2131,1213,18643
2007-04-01,102.3,100.4,119.331,1495.5,144.6783,1179,18189
2007-05-01,100.8,100.4,119.166,1497.1,143.9765,1194,18545
2007-06-01,101.9,100.4,118.576,1494,144.7019,1197,18388
2007-07-01,104.1,100.5,118.449,1497.2,141.6218,1202,18522
2007-08-01,103.9,100.5,117.901,1497,138.7102,1207,18491
2007-09-01,104.6,100.6,118.023,1494.8,138.9732,1206,18412
2007-10-01,105.3,100.6,118.435,1496.4,138.2353,1195,18431
2007-11-01,105.4,100.7,118.737,1526.2,137.7043,1222,18759
2007-12-01,105.3,100.7,119.35,1517.1,137.1206,1254,18570
2008-01-01,106,101,119.438,1500.4,133.6333,1280,18542
2008-02-01,106.7,100.8,118.904,1492.8,132.9683,1301,18280
2008-03-01,109.1,100.8,118.399,1497.1,132.7589,1325,18338
2008-04-01,108.3,100.4,118.729,1488.5,129.9148,1353,18384
2008-05-01,107.6,100.5,118.716,1479.7,129.4702,1362,18642
2008-06-01,108,100.5,118.501,1473.2,127.571,1343,18708
2008-07-01,109.9,100.8,119.006,1473,125.4359,1390,18635
2008-08-01,109.8,100.7,119.736,1474.4,125.3162,1400,18524
2008-09-01,109.4,100.7,119.618,1457.6,121.3846,1417,17560
2008-10-01,107.2,100.4,118.799,1443.5,118.2672,1432,17317
2008-11-01,104.4,100.3,118.867,1426.2,112.4437,1430,17173
2008-12-01,103.9,99.8,118.119,1404.7,105.3315,1391,16868
