,Date,Sold_Units,Retail_Sales (in USD)
161,2020-03-09,10364.0,1554600.0
162,2020-03-10,10013.0,1501950.0
163,2020-03-11,8083.0,1212450.0
164,2020-03-12,8139.0,1220850.0
165,2020-03-13,8179.0,1226850.0
166,2020-03-14,4268.0,640200.0
167,2020-03-15,2515.0,377250.0
168,2020-03-16,9539.0,1430850.0
169,2020-03-17,9419.0,1412850.0
170,2020-03-18,7643.0,1146450.0
171,2020-03-19,7411.0,1111650.0
172,2020-03-20,7533.0,1129950.0
173,2020-03-21,3700.0,555000.0
174,2020-03-22,2127.0,319050.0
175,2020-03-23,9589.0,1438350.0
176,2020-03-24,9615.0,1442250.0
177,2020-03-25,7781.0,1167150.0
178,2020-03-26,7922.0,1188300.0
179,2020-03-27,8685.0,1302750.0
180,2020-03-28,4105.0,615750.0
181,2020-03-29,2167.0,325050.0
182,2020-03-30,9616.0,1442400.0
183,2020-03-31,9502.0,1425300.0
184,2020-04-01,8332.0,1249800.0
185,2020-04-02,9136.0,1370400.0
186,2020-04-03,9061.0,1359150.0
187,2020-04-04,3980.0,597000.0
188,2020-04-05,2467.0,370050.0
189,2020-04-06,10138.0,1520700.0
190,2020-04-07,10145.0,1521750.0
191,2020-04-08,7735.0,1160250.0
192,2020-04-09,7844.0,1176600.0
193,2020-04-10,7760.0,1164000.0
194,2020-04-11,4079.0,611850.0
195,2020-04-12,2512.0,376800.0
196,2020-04-13,9563.0,1434450.0
197,2020-04-14,9601.0,1440150.0
198,2020-04-15,7283.0,1092450.0
199,2020-04-16,7227.0,1084050.0
200,2020-04-17,7077.0,1061550.0
201,2020-04-18,3798.0,569700.0
202,2020-04-19,2107.0,316050.0
203,2020-04-20,8756.0,1313400.0
204,2020-04-21,9144.0,1371600.0
205,2020-04-22,7665.0,1149750.0
206,2020-04-23,7604.0,1140600.0
207,2020-04-24,7613.0,1141950.0
208,2020-04-25,3726.0,558900.0
209,2020-04-26,2334.0,350100.0
210,2020-04-27,10168.0,1525200.0
211,2020-04-28,10468.0,1570200.0
212,2020-04-29,8737.0,1310550.0
213,2020-04-30,7989.0,1198350.0
214,2020-05-01,8780.0,1317000.0
215,2020-05-02,4471.0,670650.0
216,2020-05-03,3321.0,498150.0
217,2020-05-04,10542.0,1581300.0
218,2020-05-05,10791.0,1618650.0
219,2020-05-06,8644.0,1296600.0
220,2020-05-07,8862.0,1329300.0
