Algorithm_,MSE_,R2_
fbProphet,2345618.981,0.98526091
Random Forest Regressor,2659987.658,0.92876584
SGD Regressor,2987523.907,0.91928861
Bayesian Ridge,3021348.875,0.91654319
Lasso Lars,3120978.674,0.91321198
ARD Regression,3245891.235,0.91222451
TheilSen Regressor,3201098.562,0.91011876
ElasticNet CV,3245661.987,0.91061255
Linear Regression,3690865.987,0.91060021
