Algorithm_,MSE_,R2_
Random Forest Regressor,1307503.93701176,0.939265842037451
SGD Regressor,1454410.42233351,0.922562617096224
Bayesian Ridge,1474532.78100061,0.921491239465052
Lasso Lars,1451418.55247173,0.922721913652771
ARD Regression,1487138.2716358,0.920820083517585
Passive Aggressive Regressor,1396043.61201253,0.925670249556974
TheilSen Regressor,1424536.47755815,0.924153199826444
ElasticNet CV,30227016.8035573,0.919884253294079
Linear Regression,1482087.22047568,0.921089017359605
